,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
67,3506003,BAURU,-22.3246,-49.0871,0,35,6219,14,America/Sao_Paulo
68,3506102,BEBEDOURO,-20.9491,-48.4791,0,35,6221,17,America/Sao_Paulo
69,3506201,BENTO DE ABREU,-21.2686,-50.814,0,35,6223,18,America/Sao_Paulo
70,3506300,BERNARDINO DE CAMPOS,-23.0164,-49.4679,0,35,6225,14,America/Sao_Paulo
71,3506359,BERTIOGA,-23.8486,-46.1396,0,35,2965,13,America/Sao_Paulo
72,3506409,BILAC,-21.404,-50.4746,0,35,6227,18,America/Sao_Paulo
73,3506508,BIRIGUI,-21.291,-50.3432,0,35,6229,18,America/Sao_Paulo
74,3506607,BIRITIBA-MIRIM,-23.5698,-46.0407,0,35,6231,11,America/Sao_Paulo
75,3506706,BOA ESPERANCA DO SUL,-21.9918,-48.3906,0,35,6233,16,America/Sao_Paulo
76,3506805,BOCAINA,-22.1365,-48.523,0,35,6235,14,America/Sao_Paulo
77,3506904,BOFETE,-23.1055,-48.2582,0,35,6237,14,America/Sao_Paulo
78,3507001,BOITUVA,-23.2855,-47.6786,0,35,6239,15,America/Sao_Paulo
79,3507100,BOM JESUS DOS PERDOES,-23.1356,-46.4675,0,35,6241,11,America/Sao_Paulo
80,3507159,BOM SUCESSO DE ITARARE,-24.3155,-49.1451,0,35,3059,15,America/Sao_Paulo
81,3507209,BORA,-22.2696,-50.5409,0,35,6243,18,America/Sao_Paulo
82,3507308,BORACEIA,-22.1926,-48.7808,0,35,6245,14,America/Sao_Paulo
83,3507407,BORBOREMA,-21.6214,-49.0741,0,35,6247,16,America/Sao_Paulo
84,3507456,BOREBI,-22.5728,-48.9707,0,35,7247,14,America/Sao_Paulo
85,3507506,BOTUCATU,-22.8837,-48.4437,0,35,6249,14,America/Sao_Paulo
86,3507605,BRAGANCA PAULISTA,-22.9527,-46.5419,0,35,6251,11,America/Sao_Paulo
87,3507704,BRAUNA,-21.499,-50.3175,0,35,6255,18,America/Sao_Paulo
