,data,nome_feriado,tipo_feriado,descricao_feriado,UF,Cidade
1610,20/06/2019,Corpus Christi,MUNICIPAL,conforme Lei nº 14.485 de 19 de julho de 2007,SP,São Paulo 
1611,02/11/2019,Finados,MUNICIPAL,conforme Lei nº 14.485 de 19 de julho de 2007,SP,São Paulo 
1612,20/11/2019,Dia da Consciência Negra,MUNICIPAL,conforme Lei nº 14.485 de 19 de julho de 2007,SP,São Paulo 
1613,20/11/2019,Dia da Consciência Negra,MUNICIPAL,"Homenagem a Zumbi dos Palmares, dia da consciência negra.",SP,São Sebastião 
1614,22/01/2019,Aniversário da Cidade,MUNICIPAL,"Aniversário da Fundação de São Vicente, conforme Lei Municipal 1.332/67",SP,São Vicente 
1615,19/04/2019,Sexta-Feria Santa,MUNICIPAL,"Sexta-Feria Santa, conforme Lei Municipal 1.332/67",SP,São Vicente 
1616,20/06/2019,Corpus Christi,MUNICIPAL,"Corpus Christi, conforme Lei Municipal 1.332/67",SP,São Vicente 
1617,02/11/2019,Finados,MUNICIPAL,"Dia de Finados, conforme Lei Municipal 1.332/67",SP,São Vicente 
1618,20/11/2019,Consciência Negra,MUNICIPAL,"Dia da Consciência Negra, definido pela lei Municipal 1.814-A/06, , alterada pela Lei 1.926/07",SP,São Vicente 
1619,20/11/2019,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No. 1.508/2009,SP,Sete Barras 
1620,19/03/2019,São José,MUNICIPAL,Dia de São José,SP,Severínia 
1621,20/11/2019,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 8120, de 2007",SP,Sorocaba 
1622,20/11/2019,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 3922, de 2004",SP,Sumaré 
1623,20/01/2019,"Dia de São Sebastião, padroeiro da Cidade",MUNICIPAL,http://leismunicipa.is/tgpch,SP,Suzano 
1624,19/04/2019,Sexta-feira Santa,MUNICIPAL,conforme Decreto Municipal nº 8652 de 06 de janeiro de 2015,SP,Suzano 
1625,20/06/2019,Corpus Christi,MUNICIPAL,conforme Decreto Municipal nº 8652 de 06 de janeiro de 2015,SP,Suzano 
1626,20/11/2019,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 4319, de 2009",SP,Suzano 
1627,19/02/2019,Aniversário da cidade,MUNICIPAL,Emancipação do Município,SP,Taboão da Serra 
1628,19/04/2019,Sexta-feira santa,MUNICIPAL,Sexta-feira santa,SP,Taboão da Serra 
1629,20/06/2019,Corpus Christi,MUNICIPAL,Corpus Christi,SP,Taboão da Serra 
1630,01/10/2019,Amor Misericordioso,MUNICIPAL,"Dia do Amor Misericordioso de Deus, de acordo com a lei 051/2015.",SP,Taboão da Serra 
1631,19/03/2019,São José,MUNICIPAL,Dia de São José,SP,Taiaçu 
1632,19/04/2019,Sexta-feira da Paixão,MUNICIPAL,"Sexta-feira da paixão, conforme Lei nº 4.128/07",SP,Taubaté 
1633,22/04/2019,São Benedito,MUNICIPAL,"Festa de São Benedito, conforme Lei nº 4.128/07",SP,Taubaté 
1634,20/06/2019,Corpus Christi,MUNICIPAL,Corpus Christi,SP,Taubaté 
1635,04/10/2019,São Francisco de Assis,MUNICIPAL,"Comemorações do dia do padroeiro da cidade, São Francisco de Assis, conforme Lei nº 4.128/07",SP,Taubaté 
1636,05/12/2019,Aniversário da Cidade,MUNICIPAL,"Aniversário da Cidade de Taubaté, conforme Lei nº 4.562/11",SP,Taubaté 
1637,05/03/2019,Carnaval,MUNICIPAL,"Feriado de Carnaval, conforme lei nº 1242, de 26 de junho de 2014",SP,Terra Roxa 
1638,19/04/2019,Sexta-Feira Santa,MUNICIPAL,"Feriado conforme lei nº 1242, de 26 de junho de 2014",SP,Terra Roxa 
1639,20/06/2019,Corpus Christi,MUNICIPAL,"Feriado conforme lei nº 1242, de 26 de junho de 2014",SP,Terra Roxa 
